project_id,category,goal_usd,backers_count,duration_days
69,Technology,7331.54,361,24
70,Music,6090.76,86,29
71,Music,2143.59,149,32
72,Music,899.0,120,31
73,Music,423.42,29,26
74,Games,1484.71,166,40
75,Art,2930.65,3,16
76,Games,3790.68,0,36
77,Art,7515.87,25,15
78,Film & Video,16039.42,49,33
79,Games,723.97,81,23
80,Technology,665.87,8,37
81,Art,4554.27,89,31
82,Games,6940.27,129,32
83,Food,9524.32,16,22
84,Publishing,13831.26,42,25
85,Music,20599.67,58,32
86,Film & Video,2652.48,48,35
87,Publishing,2492.88,128,53
88,Games,899.72,258,32
89,Publishing,5874.87,128,38
90,Art,5446.66,6,18
91,Publishing,10004.78,130,19
92,Publishing,611.59,5,27
93,Games,3543.55,21,20
94,Publishing,4450.4,13,42
95,Publishing,1482.44,17,27
96,Publishing,1025.78,60,41
97,Technology,9915.62,89,42
98,Art,401.59,50,30
99,Publishing,3280.25,256,34
100,Games,715.55,21,30
101,Film & Video,3153.77,115,34
102,Food,19650.71,163,34
103,Food,2855.69,66,29
104,Food,9828.92,48,34
105,Technology,723.94,72,44
106,Music,1682.14,44,36
107,Food,2685.83,64,33
108,Music,2652.56,43,31
109,Games,5664.32,40,22
110,Technology,2213.45,95,22
111,Food,6354.74,7,33
112,Art,5196.98,14,19
113,Technology,2647.14,152,24
114,Music,2926.06,117,40
115,Film & Video,4866.43,26,45
116,Publishing,463.08,37,17
117,Film & Video,8741.3,208,43
118,Technology,5398.22,136,28
119,Food,6579.39,76,30
120,Games,3949.31,20,29
121,Film & Video,685.35,3,39
122,Film & Video,2696.27,45,17
123,Food,2699.11,89,34
124,Technology,2035.99,141,22
125,Food,252.04,153,35
126,Music,6782.84,2,42
127,Technology,681.46,22,30
128,Film & Video,4760.93,33,33
129,Film & Video,6173.78,16,33
130,Games,5136.36,129,24
131,Film & Video,16088.29,116,42
132,Games,645.16,58,44
133,Film & Video,10193.32,325,36
134,Music,248.12,12,31
135,Film & Video,3927.7,183,26
136,Art,2689.62,9,25
137,Games,3813.62,14,44
138,Art,2371.44,95,41
139,Games,1157.11,9,29
140,Games,196.54,66,17
141,Film & Video,3750.61,43,7
142,Art,9350.45,104,21
143,Games,2435.77,184,29
144,Publishing,1360.7,117,41
145,Music,519.8,151,25
146,Film & Video,545.86,2,34
147,Games,1351.27,29,40
148,Art,626.88,57,31
149,Music,1639.69,43,29
150,Film & Video,442.19,21,20
151,Music,439.28,29,20
152,Publishing,9799.31,232,33
153,Film & Video,984.4,27,28
154,Art,4201.3,34,31
155,Games,7524.07,0,30
156,Technology,3147.8,149,35
157,Games,932.45,13,24
158,Film & Video,1213.19,18,27
159,Games,2936.84,23,45
160,Technology,3856.36,172,24
161,Technology,2249.61,18,28
162,Art,7704.38,127,25
163,Technology,7051.95,132,34
164,Art,13201.01,209,38
165,Games,246.9,9,26
166,Art,11402.0,19,27
167,Film & Video,2592.58,108,28
168,Games,10633.96,17,34
169,Technology,5968.59,26,24
170,Publishing,21950.0,14,27
171,Technology,7220.66,15,11
172,Food,2367.07,52,19
173,Art,3576.38,9,29
174,Technology,2461.14,31,37
175,Food,2369.96,44,32
176,Film & Video,1611.64,1,21
177,Games,3525.6,39,19
178,Art,5824.43,7,31
179,Film & Video,1724.08,54,17
180,Games,3815.68,139,39
181,Food,724.3,136,31
182,Technology,970.85,6,17
183,Technology,339.69,73,22
184,Technology,17756.21,143,24
185,Games,119.34,21,24
186,Technology,1083.6,114,18
187,Film & Video,4844.93,177,23
188,Film & Video,524.36,131,25
189,Technology,10780.97,9,24
190,Publishing,6458.05,0,39
191,Games,17064.65,17,31
192,Publishing,3642.68,25,22
193,Food,1886.26,76,27
194,Art,4086.99,38,23
195,Technology,13455.12,97,28
196,Publishing,3777.78,34,37
197,Games,1654.46,13,32
198,Food,10594.09,29,48
199,Games,2425.43,172,33
200,Publishing,106.92,254,23
201,Art,1523.0,18,36
202,Food,2015.34,124,39
203,Music,9887.09,25,39
204,Food,3167.09,174,21
205,Games,3040.22,14,29
206,Technology,2148.14,87,39
207,Technology,10729.65,7,17
208,Technology,14604.55,291,26
209,Food,24173.49,96,19
210,Food,2463.97,147,23
211,Art,17028.7,66,22
212,Music,7948.19,51,40
213,Technology,5730.26,77,28
214,Publishing,1504.46,60,23
215,Music,1319.65,50,22
216,Art,1007.9,113,31
217,Food,12903.97,15,30
218,Food,1841.24,15,41
219,Games,3117.39,45,34
220,Music,3505.68,30,19
221,Technology,7629.26,6,25
222,Technology,9397.03,148,39
223,Publishing,848.73,118,25
224,Games,2883.51,62,44
225,Games,9352.93,310,21
226,Music,8619.66,6,35
227,Art,640.23,116,23
228,Food,950.29,24,26
229,Food,1913.46,36,39
230,Technology,491.75,19,29
231,Technology,2864.0,124,37
232,Music,669.3,12,34
233,Film & Video,4299.17,146,36
234,Technology,1515.51,86,23
235,Art,4637.06,4,28
236,Games,725.13,133,33
237,Art,18724.37,79,23
238,Food,13582.67,188,43
239,Music,2586.23,110,24
240,Music,1486.54,65,28
241,Art,1541.07,144,22
242,Publishing,3402.37,26,13
243,Technology,304.07,63,44
244,Food,5204.16,27,28
245,Technology,2723.8,275,26
246,Games,2469.31,20,28
247,Film & Video,8386.97,1,41
248,Games,6272.77,31,22
249,Film & Video,15531.99,55,35
250,Publishing,2268.83,2,27
251,Art,11491.55,65,25
252,Games,7447.67,165,35
253,Art,2311.36,97,38
254,Art,4959.88,78,26
255,Food,1802.39,249,24
256,Food,10473.26,254,21
257,Games,696.32,139,39
258,Technology,1294.04,74,25
259,Games,1110.78,53,15
260,Technology,2679.41,1,41
261,Publishing,6937.03,74,19
262,Film & Video,3842.32,361,36
263,Art,3443.99,136,31
264,Games,102.73,33,32
265,Food,2870.42,13,25
266,Food,428.32,122,33
267,Publishing,1267.57,108,17
268,Technology,13570.29,273,35
269,Film & Video,1312.89,166,42
270,Games,9871.54,64,37
271,Games,8220.05,8,14
272,Music,966.69,52,22
273,Food,4753.37,30,28
274,Games,714.58,57,34
275,Art,6607.71,28,29
276,Publishing,5173.13,158,26
277,Food,8454.93,148,35
278,Food,3363.72,30,39
279,Games,12417.47,73,28
280,Games,353.04,44,36
281,Music,1832.84,191,9
282,Music,6377.25,16,22
283,Music,2807.36,95,27
284,Games,1049.46,281,26
285,Art,667.02,15,33
286,Film & Video,8600.62,18,38
287,Film & Video,3304.13,94,34
288,Publishing,10797.39,120,25
289,Games,6707.95,53,18
290,Music,2735.84,75,34
291,Film & Video,2438.12,19,15
292,Games,3724.62,51,35
293,Food,11093.83,9,28
294,Food,6783.31,31,21
295,Food,125.83,26,32
296,Music,6023.43,47,30
297,Publishing,12697.95,212,30
298,Film & Video,6297.24,15,29
299,Film & Video,1074.03,41,33
300,Technology,3403.58,76,37
301,Music,855.95,234,34
302,Food,2323.59,11,38
303,Technology,13932.4,199,30
304,Publishing,12939.61,6,43
305,Technology,1762.26,52,35
306,Games,2174.78,48,26
307,Film & Video,4684.12,18,21
308,Food,16610.92,34,32
309,Art,899.68,48,20
310,Food,1584.74,160,22
311,Art,10439.81,248,32
312,Technology,3485.31,58,25
313,Art,11561.25,163,23
314,Technology,1126.01,74,30
315,Food,3903.58,34,31
316,Music,2074.63,17,28
317,Music,2002.95,42,27
318,Technology,3060.87,59,37
319,Games,2937.66,3,33
320,Technology,2310.75,12,28
321,Games,12423.8,73,50
322,Technology,6679.07,20,32
323,Publishing,6601.45,145,39
324,Publishing,1811.84,31,26
325,Technology,4410.31,8,19
326,Music,7652.02,6,24
327,Games,8038.15,221,28
328,Publishing,2212.02,10,26
329,Games,7467.39,12,41
330,Film & Video,6757.02,158,29
331,Art,862.88,23,34
332,Food,10147.54,87,30
333,Music,3010.91,135,27
334,Music,3431.65,74,30
335,Film & Video,3074.38,252,44
336,Music,4294.87,98,24
337,Food,4953.33,9,36
338,Publishing,3547.56,65,22
339,Food,10179.09,101,26
340,Film & Video,5040.74,129,30
341,Food,2666.04,2,33
342,Food,2795.2,101,42
343,Publishing,8425.77,139,30
344,Publishing,2240.03,109,23
345,Food,1287.83,57,35
346,Food,406.1,49,27
347,Film & Video,10538.45,63,32
348,Games,12638.61,97,29
349,Food,739.85,205,14
350,Games,2135.89,76,34
351,Art,1064.11,175,35
352,Art,715.92,96,37
353,Music,11606.27,5,44
354,Art,392.79,55,20
355,Film & Video,19783.03,27,34
356,Publishing,607.12,26,33
357,Games,10056.08,35,27
358,Games,4279.39,30,33
359,Music,2393.68,69,34
360,Music,2195.35,92,20
361,Food,7180.97,25,32
362,Art,1988.57,11,23
363,Food,5454.78,4,25
364,Music,3742.07,68,16
365,Music,3417.61,16,26
366,Film & Video,11671.37,0,28
367,Technology,4144.42,210,34
368,Games,8868.32,61,30
369,Music,6565.36,7,18
370,Publishing,296.6,148,37
371,Games,7516.45,326,29
372,Music,1322.28,47,34
373,Music,11772.94,3,38
374,Film & Video,319.36,10,41
375,Technology,2125.37,38,46
376,Art,625.32,173,29
377,Technology,3327.4,12,32
378,Film & Video,8674.62,138,21
379,Publishing,1870.44,1,38
380,Art,918.1,48,21
381,Technology,2104.38,82,16
382,Publishing,8506.82,4,37
383,Games,856.35,76,26
384,Games,1389.73,231,36
385,Technology,456.69,13,33
386,Technology,6215.95,104,17
387,Games,2614.56,75,8
388,Food,1961.41,16,21
389,Games,6440.36,0,30
390,Art,2147.2,0,20
391,Technology,6605.56,60,25
392,Games,8542.39,228,18
393,Technology,1327.35,82,31
394,Food,18313.55,100,31
395,Film & Video,985.82,54,26
396,Music,1818.38,69,41
397,Technology,1091.01,10,42
398,Publishing,2219.46,167,35
399,Technology,3370.22,114,16
400,Games,3792.56,505,21
401,Publishing,9707.27,28,33
402,Publishing,11111.34,20,25
403,Music,1342.97,10,26
404,Technology,4976.15,266,37
405,Film & Video,691.08,121,34
406,Art,3171.4,14,41
407,Art,2045.5,64,27
408,Publishing,2002.65,42,41
409,Publishing,3394.54,13,26
410,Film & Video,6643.48,14,42
411,Publishing,458.46,264,31
412,Art,10666.99,29,23
413,Games,6736.61,227,17
414,Film & Video,1070.95,6,28
415,Games,14097.61,49,28
416,Technology,3629.26,11,37
417,Food,42905.15,0,29
418,Food,1198.62,64,27
419,Food,3927.6,9,39
420,Technology,1814.2,102,28
421,Technology,1913.28,95,25
422,Food,4571.0,15,35
423,Games,12837.26,227,26
424,Publishing,8280.55,102,35
425,Publishing,6535.71,28,25
426,Food,4195.52,98,28
427,Film & Video,12874.4,105,31
428,Film & Video,3489.93,33,27
429,Publishing,10450.71,37,30
430,Art,9078.28,35,37
431,Music,1302.95,76,33
432,Games,7475.09,184,34
433,Games,161.23,15,25
434,Games,2049.16,166,37
435,Music,1404.02,2,35
436,Film & Video,3634.84,86,38
437,Food,6775.22,42,24
438,Film & Video,613.91,125,29
439,Games,3717.23,102,35
440,Art,14036.44,52,25
441,Food,1398.04,82,28
442,Film & Video,5752.7,55,45
443,Games,4593.24,133,46
444,Publishing,150.57,51,40
445,Publishing,3329.66,59,38
446,Film & Video,6268.22,23,22
447,Food,324.86,74,34
448,Music,10681.42,28,27
449,Art,3770.69,68,22
450,Film & Video,255.7,14,26
451,Food,1370.68,13,31
452,Technology,15460.44,43,26
453,Art,4465.2,44,26
454,Games,668.49,24,36
455,Technology,1795.19,11,31
456,Film & Video,3150.5,3,32
457,Publishing,205.86,2,31
458,Games,2751.87,25,25
459,Film & Video,3461.42,49,19
460,Music,1496.44,103,32
461,Film & Video,4541.42,51,26
462,Music,7096.7,187,14
463,Publishing,1444.85,2,27
464,Food,4944.5,15,21
465,Music,5203.01,33,36
466,Art,14934.78,68,34
467,Art,7631.61,153,34
468,Technology,9530.74,34,25
469,Food,3470.84,24,36
470,Technology,1124.97,5,33
471,Technology,27481.59,137,27
472,Technology,792.61,38,26
473,Art,3288.16,67,37
474,Technology,452.61,328,26
475,Music,14498.72,0,32
476,Technology,16851.32,12,38
477,Games,6453.93,120,45
478,Art,2253.86,130,43
479,Music,1567.71,117,37
480,Publishing,1641.49,61,18
481,Music,780.78,308,24
482,Film & Video,3830.72,40,26
483,Publishing,864.69,73,43
484,Technology,2004.33,5,24
485,Technology,5026.95,42,33
486,Film & Video,6601.38,102,31
487,Food,222.86,21,23
488,Technology,2911.61,230,33
489,Publishing,5379.55,92,33
490,Publishing,9694.99,27,20
491,Publishing,3324.88,117,40
492,Music,17502.16,6,13
493,Art,1643.73,294,25
494,Art,168.0,4,38
495,Music,3405.85,216,20
496,Publishing,1579.34,23,33
497,Music,8778.34,113,20
498,Food,1424.86,0,29
499,Music,1959.88,23,11
500,Games,7932.55,110,23
501,Food,6378.84,60,18
502,Music,4182.81,9,27
503,Games,6203.02,40,27
504,Food,2811.9,37,25
505,Games,126.62,67,36
506,Art,157.1,88,23
507,Art,3679.23,147,35
508,Music,534.83,55,43
509,Music,362.13,39,31
510,Music,16936.39,12,23
511,Art,9895.07,130,20
512,Technology,924.53,99,24
513,Games,103.32,42,36
514,Technology,14308.0,58,31
515,Publishing,1730.9,87,37
516,Music,1128.35,14,36
517,Publishing,5980.3,2,31
518,Food,676.51,30,34
519,Technology,1637.04,72,45
520,Games,18563.37,53,41
521,Art,5200.8,94,28
522,Film & Video,3776.91,137,38
523,Music,2636.81,53,35
524,Publishing,7547.2,11,39
525,Publishing,859.68,152,35
526,Publishing,17207.68,68,22
527,Technology,9970.83,107,17
528,Technology,4907.19,97,35
529,Film & Video,319.27,275,45
530,Food,6134.15,27,24
531,Technology,12325.6,97,28
532,Art,3817.75,36,22
533,Games,2286.52,40,39
534,Games,740.74,20,12
535,Publishing,7130.47,33,12
536,Art,10915.07,236,33
537,Music,628.2,27,29
538,Publishing,7214.47,22,26
539,Games,186.04,69,28
540,Games,17164.57,23,34
541,Games,4873.31,51,27
542,Publishing,4119.71,143,21
543,Film & Video,1854.53,20,23
544,Music,13345.96,44,37
545,Film & Video,1645.59,75,26
546,Film & Video,8905.57,63,19
547,Music,21134.88,294,31
548,Games,7748.44,91,34
549,Games,3759.34,107,41
550,Publishing,441.79,272,32
551,Publishing,3297.21,42,25
552,Film & Video,2983.54,35,34
553,Music,1233.22,3,36
554,Music,2854.66,16,30
555,Technology,2313.95,21,30
556,Technology,993.75,16,32
557,Film & Video,3011.38,112,29
558,Publishing,1624.48,61,32
559,Games,3791.38,88,22
560,Food,278.97,137,21
561,Art,11934.63,20,23
562,Games,8574.01,31,35
563,Film & Video,4121.3,98,32
564,Music,9646.25,39,38
565,Technology,16503.1,2,29
566,Publishing,685.6,45,21
567,Music,5082.51,191,39
568,Publishing,31158.07,42,30
569,Publishing,22168.28,32,40
570,Film & Video,4723.16,364,35
571,Technology,784.95,82,48
572,Technology,4475.66,36,28
573,Food,110.33,8,37
574,Games,1208.92,124,37
575,Music,15731.84,98,26
576,Food,2105.68,203,29
577,Food,5185.95,19,18
578,Music,1748.49,9,18
579,Food,14865.46,103,31
580,Art,6620.05,18,36
581,Technology,2099.79,15,35
582,Art,7945.35,30,33
583,Publishing,672.37,135,37
584,Games,2590.53,62,25
585,Food,1350.12,3,28
586,Games,5855.74,49,36
587,Publishing,640.41,92,33
588,Games,2629.4,61,28
589,Art,1719.31,67,41
590,Publishing,3629.57,20,20
591,Games,2253.13,150,26
592,Technology,6227.87,65,28
593,Food,224.42,99,37
594,Games,5125.43,320,30
595,Games,1410.53,44,20
596,Art,1664.72,170,34
597,Music,8153.58,0,39
598,Games,15669.02,2,36
599,Food,2003.01,71,35
600,Food,8866.69,29,15
601,Publishing,649.02,22,23
602,Technology,5125.36,26,34
603,Games,7052.16,30,30
604,Art,947.88,104,34
605,Technology,2875.65,67,20
606,Technology,11260.97,124,30
607,Games,646.72,141,19
608,Art,191.31,148,14
609,Music,4565.13,42,32
610,Film & Video,2959.35,43,37
611,Games,8114.53,208,32
612,Film & Video,12949.42,86,30
613,Games,1877.33,6,18
614,Technology,2558.42,62,38
615,Games,3430.31,35,30
616,Film & Video,4535.5,350,46
617,Art,20730.36,1,38
618,Technology,6075.57,75,14
619,Games,2567.78,102,36
620,Art,1631.05,27,19
621,Music,14568.2,290,24
622,Publishing,828.3,157,28
623,Games,6469.58,197,29
624,Music,13077.74,1,33
625,Film & Video,5563.13,67,22
626,Food,2850.04,27,21
627,Music,1209.42,151,35
628,Publishing,2390.18,80,30
629,Music,6235.73,61,31
630,Food,5342.46,9,12
631,Games,13253.79,62,29
632,Music,10181.8,79,23
633,Games,8568.2,249,23
634,Film & Video,12220.99,70,37
635,Publishing,1717.15,273,21
636,Food,2406.4,260,21
637,Music,2489.32,84,27
638,Publishing,4210.03,56,34
639,Music,5616.39,50,23
640,Art,1789.38,176,40
641,Publishing,198.27,2,42
642,Music,2647.65,9,23
643,Film & Video,1944.66,8,28
644,Food,14352.51,113,24
645,Art,11058.13,33,17
646,Food,9941.67,81,32
647,Film & Video,5392.15,74,36
648,Games,2210.18,38,46
649,Music,4079.77,60,23
650,Film & Video,8543.08,82,41
651,Film & Video,619.09,226,41
652,Art,8174.13,68,32
653,Art,310.26,76,35
654,Publishing,8575.55,5,37
655,Film & Video,8339.95,243,46
656,Film & Video,361.77,60,34
657,Games,5033.04,129,30
658,Art,3590.33,4,23
659,Art,1030.56,43,32
660,Technology,903.07,23,38
661,Food,7519.74,24,32
662,Publishing,4293.09,125,24
663,Film & Video,20472.46,78,31
664,Technology,20256.22,46,29
665,Technology,24676.85,0,32
666,Film & Video,731.31,268,17
667,Games,14023.8,261,34
668,Food,1502.34,19,35
669,Art,3164.4,3,34
670,Art,7181.84,60,30
671,Food,1238.4,241,16
672,Food,4277.14,192,30
673,Art,1127.85,70,38
674,Music,653.18,28,23
675,Art,719.65,32,14
676,Food,2313.02,182,18
677,Games,123.33,54,33
678,Film & Video,2865.66,11,33
679,Publishing,5556.15,22,37
680,Music,2668.22,25,30
681,Music,548.5,10,18
682,Film & Video,423.7,49,23
683,Film & Video,1729.46,198,37
684,Publishing,1027.51,88,31
685,Art,16875.62,6,35
686,Food,919.84,0,33
687,Games,8285.65,25,28
688,Art,4510.75,36,29
689,Publishing,4311.57,119,45
690,Food,3688.03,272,33
691,Film & Video,17935.62,39,29
692,Publishing,2361.56,92,34
693,Art,7853.86,422,32
694,Food,4151.71,109,13
695,Film & Video,2617.87,80,35
696,Music,15657.5,6,45
697,Publishing,4660.45,31,24
698,Technology,733.02,195,42
699,Music,2802.47,17,28
700,Technology,7706.72,148,32
701,Film & Video,6016.72,95,39
702,Technology,12504.99,36,24
703,Games,1601.32,60,40
704,Food,7198.09,62,20
705,Film & Video,3179.78,100,23
706,Technology,4362.0,58,25
707,Film & Video,15610.65,11,35
708,Games,19484.8,118,27
709,Technology,9987.71,41,18
710,Technology,2324.39,263,28
711,Music,11032.94,26,24
712,Technology,5188.98,24,36
713,Food,2910.57,32,27
714,Technology,281.99,67,31
715,Film & Video,7451.17,180,27
716,Games,3586.84,15,33
717,Publishing,7813.3,26,29
718,Art,6992.08,69,33
719,Food,7988.91,48,9
720,Games,1888.03,47,31
721,Games,8167.19,137,33
722,Technology,4079.74,206,28
723,Art,3305.87,52,35
724,Publishing,5721.59,93,36
725,Art,207.95,129,40
726,Publishing,639.69,58,31
727,Games,1827.81,27,15
728,Art,20469.8,81,12
729,Film & Video,852.64,70,17
730,Publishing,2106.84,185,30
731,Publishing,362.01,4,29
732,Art,2111.87,192,32
733,Food,2030.71,61,25
734,Games,14769.16,1,24
735,Food,9426.62,33,34
736,Food,2512.52,103,35
737,Music,225.4,53,28
738,Publishing,8990.2,313,30
739,Art,5501.94,43,33
740,Food,926.52,31,34
741,Food,27797.2,137,21
742,Games,628.1,63,24
743,Music,10191.34,91,20
744,Games,1842.59,131,26
745,Food,2957.78,89,36
746,Games,8034.87,43,34
747,Film & Video,5758.39,10,21
748,Technology,13992.18,69,34
749,Art,4952.95,182,31
750,Music,614.65,43,26
751,Food,10886.38,193,19
752,Food,7430.06,56,29
753,Food,6321.73,77,35
754,Art,376.16,143,13
755,Technology,2622.75,66,27
756,Music,1016.22,7,48
757,Art,8727.16,316,35
758,Food,6128.68,22,32
759,Music,10831.22,99,24
760,Food,17092.27,56,25
761,Art,7552.67,52,29
762,Publishing,25878.09,22,43
763,Film & Video,4869.57,102,34
764,Film & Video,289.18,9,23
765,Games,171.77,372,39
766,Art,2193.54,149,28
767,Art,8771.37,61,44
768,Art,10154.61,44,25
769,Technology,16296.99,27,22
770,Food,436.69,55,31
771,Food,327.97,169,38
772,Games,12325.56,25,38
773,Film & Video,1919.55,55,31
774,Games,4182.08,21,22
775,Film & Video,20312.05,32,26
776,Film & Video,2657.87,16,14
777,Music,5581.15,372,23
778,Games,2661.46,67,29
779,Music,7409.29,105,33
780,Games,3850.86,8,27
781,Food,1455.92,36,30
782,Art,1682.51,178,27
783,Film & Video,1592.43,7,36
784,Food,3899.86,14,23
785,Film & Video,6173.3,78,37
786,Publishing,15007.16,77,46
787,Music,6022.28,145,34
788,Food,7697.82,219,26
789,Art,1025.18,12,26
790,Technology,2442.52,24,40
791,Games,2770.3,44,21
792,Food,5897.87,0,22
793,Technology,1854.12,5,21
794,Publishing,1906.94,20,20
795,Film & Video,2299.42,52,22
796,Music,8411.61,23,36
797,Technology,4408.9,167,39
798,Music,491.31,31,24
799,Film & Video,507.39,206,32
800,Music,2420.4,294,36
801,Art,7374.82,47,31
802,Music,5934.72,20,22
803,Food,6254.71,27,18
804,Games,7388.09,119,38
805,Art,1792.44,25,34
806,Technology,4073.2,38,35
807,Publishing,4019.22,52,21
808,Music,6828.31,68,32
809,Music,15817.75,443,35
810,Food,1728.58,21,33
811,Publishing,7981.99,34,24
812,Art,5493.62,24,38
813,Art,4440.34,35,18
814,Art,7555.6,8,37
815,Technology,14514.92,35,39
816,Film & Video,286.91,175,43
817,Games,897.32,28,27
818,Publishing,7158.82,37,22
819,Music,537.56,231,36
820,Art,3729.63,104,24
821,Film & Video,1341.41,58,30
822,Games,1703.06,120,27
823,Publishing,6150.63,10,23
824,Music,253.29,49,33
825,Art,10430.43,10,19
826,Technology,3039.24,21,35
827,Publishing,3589.73,12,22
828,Art,3983.17,35,16
829,Music,5285.86,38,30
830,Film & Video,2214.51,235,33
831,Publishing,632.96,24,35
832,Games,2016.41,51,37
833,Technology,1020.47,133,11
834,Publishing,4161.15,135,22
835,Food,2013.84,111,31
836,Publishing,15958.43,27,42
837,Food,16968.05,54,36
838,Technology,4939.58,16,45
839,Food,4905.1,16,26
840,Film & Video,21226.33,45,32
841,Games,11014.38,107,21
842,Music,7342.34,59,27
843,Film & Video,1981.41,174,24
844,Music,2374.9,142,25
845,Art,1223.64,2,27
846,Food,3438.84,67,30
847,Games,23313.59,75,30
848,Film & Video,12260.68,260,34
849,Publishing,729.8,1,31
850,Film & Video,227.56,60,27
851,Music,11545.27,18,26
852,Publishing,3951.98,4,28
853,Technology,1216.9,70,26
854,Film & Video,5698.97,118,34
855,Film & Video,5267.26,119,37
856,Publishing,751.03,2,40
857,Film & Video,1602.83,41,24
858,Publishing,409.79,3,34
859,Technology,1277.73,22,19
860,Film & Video,809.58,17,33
861,Art,1173.62,19,39
862,Music,5883.33,33,29
863,Film & Video,353.83,25,39
864,Publishing,637.12,262,21
865,Publishing,820.35,34,23
866,Music,2002.94,179,29
867,Music,1874.46,15,38
868,Publishing,1572.28,115,27
869,Food,7042.22,5,26
870,Publishing,31230.34,49,22
871,Film & Video,3917.61,0,32
872,Publishing,14530.15,132,40
873,Music,2625.96,240,36
874,Film & Video,664.07,2,36
875,Publishing,2727.78,217,28
876,Technology,1855.79,118,25
877,Music,3500.24,35,35
878,Food,5450.76,191,30
879,Technology,3190.66,28,29
880,Film & Video,13779.2,42,37
881,Music,10903.9,8,28
882,Film & Video,6152.93,85,23
883,Games,3463.63,2,37
884,Music,806.02,53,31
885,Film & Video,2629.3,91,22
886,Technology,6193.77,137,21
887,Film & Video,1776.56,12,31
888,Publishing,649.01,112,49
889,Art,12024.32,101,27
890,Publishing,6273.03,65,27
891,Technology,4876.15,70,42
892,Film & Video,7963.09,7,30
893,Music,9128.66,73,18
894,Technology,3403.0,38,17
895,Film & Video,10751.07,161,40
896,Games,12509.7,30,35
897,Publishing,1684.19,68,37
898,Technology,4776.67,44,30
899,Film & Video,3838.9,167,24
900,Games,3960.37,23,28
901,Publishing,13976.01,6,31
902,Games,1920.57,110,23
903,Food,20602.01,42,34
904,Art,11720.64,71,20
905,Technology,3169.12,2,27
906,Film & Video,8603.75,243,28
907,Games,7427.71,168,24
908,Art,5764.39,78,12
909,Games,2027.09,1,34
910,Games,1193.59,37,24
911,Music,5666.51,308,41
912,Art,9356.7,91,27
913,Games,181.93,14,26
914,Film & Video,5247.34,49,31
915,Film & Video,3024.81,272,38
916,Film & Video,11518.22,61,25
917,Art,2039.15,1,38
918,Publishing,3314.03,77,42
919,Games,3715.63,25,38
920,Art,856.67,8,43
921,Technology,6339.49,41,40
922,Publishing,8973.81,65,42
923,Food,398.27,1,43
924,Music,1822.24,65,32
925,Film & Video,293.94,57,27
926,Music,15780.04,126,12
927,Publishing,5600.6,44,19
928,Art,16749.1,64,26
929,Music,3891.03,108,27
930,Publishing,8199.17,181,29
931,Food,2445.33,38,22
932,Art,2283.38,73,17
933,Music,2476.23,94,29
934,Film & Video,5462.71,3,28
935,Art,2327.17,129,24
936,Food,11631.33,37,24
937,Art,20554.21,88,22
938,Art,254.5,51,27
939,Art,1176.02,96,23
940,Games,695.33,103,40
941,Film & Video,316.44,17,32
942,Food,1392.18,86,22
943,Art,3060.12,152,28
944,Film & Video,9169.73,21,21
945,Film & Video,1354.01,113,38
946,Games,3505.55,80,41
947,Film & Video,13369.14,248,40
948,Publishing,5601.29,24,21
949,Food,8099.39,13,29
950,Music,4103.59,29,27
